"","Location","Occupation","Year","Injuries","OccAbbrev"
"2936","  Tauranga city","Service and sales workers","2006",972,"Ser"
"2937","  Rotorua district","Service and sales workers","2006",546,"Ser"
"2938","  Whakatane district","Service and sales workers","2006",177,"Ser"
"2939","  Kawerau district","Service and sales workers","2006",30,"Ser"
"2940","  Opotiki district","Service and sales workers","2006",21,"Ser"
"2941","  Gisborne district","Service and sales workers","2006",264,"Ser"
"2942","  Wairoa district","Service and sales workers","2006",30,"Ser"
"2943","  Hastings district","Service and sales workers","2006",600,"Ser"
"2944","  Napier city","Service and sales workers","2006",456,"Ser"
"2945","  Central Hawke's Bay district","Service and sales workers","2006",63,"Ser"
"2946","  New Plymouth district","Service and sales workers","2006",459,"Ser"
"2947","  Stratford district","Service and sales workers","2006",51,"Ser"
"2948","  South Taranaki district","Service and sales workers","2006",99,"Ser"
"2949","  Ruapehu district","Service and sales workers","2006",501,"Ser"
"2950","  Whanganui district","Service and sales workers","2006",273,"Ser"
"2951","  Rangitikei district","Service and sales workers","2006",45,"Ser"
"2952","  Manawatu district","Service and sales workers","2006",204,"Ser"
"2953","  Palmerston North city","Service and sales workers","2006",1119,"Ser"
"2954","  Tararua district","Service and sales workers","2006",54,"Ser"
"2955","  Horowhenua district","Service and sales workers","2006",144,"Ser"
"2956","  Kapiti Coast district","Service and sales workers","2006",147,"Ser"
"2957","  Porirua city","Service and sales workers","2006",516,"Ser"
"2958","  Upper Hutt city","Service and sales workers","2006",444,"Ser"
"2959","  Lower Hutt city","Service and sales workers","2006",375,"Ser"
"2960","  Wellington city","Service and sales workers","2006",1185,"Ser"
"2961","  Masterton district","Service and sales workers","2006",171,"Ser"
"2962","  Carterton district","Service and sales workers","2006",21,"Ser"
"2963","  South Wairarapa district","Service and sales workers","2006",36,"Ser"
"2964","  Tasman district","Service and sales workers","2006",147,"Ser"
"2965","  Nelson city","Service and sales workers","2006",474,"Ser"
"2966","  Marlborough district","Service and sales workers","2006",669,"Ser"
"2967","  Kaikoura district","Service and sales workers","2006",33,"Ser"
"2968","  Buller district","Service and sales workers","2006",42,"Ser"
"2969","  Grey district","Service and sales workers","2006",93,"Ser"
"2970","  Westland district","Service and sales workers","2006",114,"Ser"
"2971","  Hurunui district","Service and sales workers","2006",39,"Ser"
"2972","  Waimakariri district","Service and sales workers","2006",108,"Ser"
"2973","  Christchurch city","Service and sales workers","2006",3144,"Ser"
"2974","  Selwyn district","Service and sales workers","2006",57,"Ser"
"2975","  Ashburton district","Service and sales workers","2006",165,"Ser"
"2976","  Timaru district","Service and sales workers","2006",336,"Ser"
"2977","  Mackenzie district","Service and sales workers","2006",27,"Ser"
"2978","  Waimate district","Service and sales workers","2006",21,"Ser"
"2979","  Chatham Islands territory","Service and sales workers","2006",NA,"Ser"
"2980","  Waitaki district","Service and sales workers","2006",108,"Ser"
"2981","  Central Otago district","Service and sales workers","2006",132,"Ser"
"2982","  Queenstown-Lakes district","Service and sales workers","2006",561,"Ser"
"2983","  Dunedin city","Service and sales workers","2006",897,"Ser"
"2984","  Clutha district","Service and sales workers","2006",75,"Ser"
"2985","  Southland district","Service and sales workers","2006",162,"Ser"
"2986","  Gore district","Service and sales workers","2006",87,"Ser"
"2987","  Invercargill city","Service and sales workers","2006",369,"Ser"
"2988","  Overseas","Service and sales workers","2006",99,"Ser"
"2989","  In the air - NZ","Service and sales workers","2006",NA,"Ser"
"2990","  In NZ waters","Service and sales workers","2006",15,"Ser"
"2991","  At sea, not in NZ waters","Service and sales workers","2006",NA,"Ser"
"2992","  In the air - overseas","Service and sales workers","2006",NA,"Ser"
"2993","  Not specified","Service and sales workers","2006",225,"Ser"
"2994","  Far North district","Agriculture and fishery workers","2006",999,"Agr"
"2995","  Whangarei district","Agriculture and fishery workers","2006",816,"Agr"
"2996","  Kaipara district","Agriculture and fishery workers","2006",522,"Agr"
"2997","  Auckland city","Agriculture and fishery workers","2006",3408,"Agr"
"2998","  Thames-Coromandel district","Agriculture and fishery workers","2006",420,"Agr"
"2999","  Hauraki district","Agriculture and fishery workers","2006",327,"Agr"
"3000","  Waikato district","Agriculture and fishery workers","2006",1317,"Agr"
"3001","  Matamata-Piako district","Agriculture and fishery workers","2006",1017,"Agr"
"3002","  Hamilton city","Agriculture and fishery workers","2006",609,"Agr"
"3003","  Waipa district","Agriculture and fishery workers","2006",852,"Agr"
"3004","  Otorohanga district","Agriculture and fishery workers","2006",318,"Agr"
"3005","  South Waikato district","Agriculture and fishery workers","2006",483,"Agr"
"3006","  Waitomo district","Agriculture and fishery workers","2006",420,"Agr"
"3007","  Taupo district","Agriculture and fishery workers","2006",540,"Agr"
"3008","  Western Bay of Plenty district","Agriculture and fishery workers","2006",231,"Agr"
"3009","  Tauranga city","Agriculture and fishery workers","2006",1272,"Agr"
"3010","  Rotorua district","Agriculture and fishery workers","2006",714,"Agr"
"3011","  Whakatane district","Agriculture and fishery workers","2006",399,"Agr"
"3012","  Kawerau district","Agriculture and fishery workers","2006",33,"Agr"
"3013","  Opotiki district","Agriculture and fishery workers","2006",210,"Agr"
"3014","  Gisborne district","Agriculture and fishery workers","2006",921,"Agr"
"3015","  Wairoa district","Agriculture and fishery workers","2006",216,"Agr"
"3016","  Hastings district","Agriculture and fishery workers","2006",1209,"Agr"
"3017","  Napier city","Agriculture and fishery workers","2006",504,"Agr"
"3018","  Central Hawke's Bay district","Agriculture and fishery workers","2006",600,"Agr"
"3019","  New Plymouth district","Agriculture and fishery workers","2006",840,"Agr"
"3020","  Stratford district","Agriculture and fishery workers","2006",285,"Agr"
"3021","  South Taranaki district","Agriculture and fishery workers","2006",705,"Agr"
"3022","  Ruapehu district","Agriculture and fishery workers","2006",300,"Agr"
"3023","  Whanganui district","Agriculture and fishery workers","2006",441,"Agr"
"3024","  Rangitikei district","Agriculture and fishery workers","2006",435,"Agr"
"3025","  Manawatu district","Agriculture and fishery workers","2006",375,"Agr"
"3026","  Palmerston North city","Agriculture and fishery workers","2006",522,"Agr"
"3027","  Tararua district","Agriculture and fishery workers","2006",600,"Agr"
"3028","  Horowhenua district","Agriculture and fishery workers","2006",228,"Agr"
"3029","  Kapiti Coast district","Agriculture and fishery workers","2006",90,"Agr"
"3030","  Porirua city","Agriculture and fishery workers","2006",45,"Agr"
"3031","  Upper Hutt city","Agriculture and fishery workers","2006",72,"Agr"
"3032","  Lower Hutt city","Agriculture and fishery workers","2006",63,"Agr"
"3033","  Wellington city","Agriculture and fishery workers","2006",186,"Agr"
"3034","  Masterton district","Agriculture and fishery workers","2006",489,"Agr"
"3035","  Carterton district","Agriculture and fishery workers","2006",96,"Agr"
"3036","  South Wairarapa district","Agriculture and fishery workers","2006",255,"Agr"
"3037","  Tasman district","Agriculture and fishery workers","2006",756,"Agr"
"3038","  Nelson city","Agriculture and fishery workers","2006",420,"Agr"
"3039","  Marlborough district","Agriculture and fishery workers","2006",1041,"Agr"
"3040","  Kaikoura district","Agriculture and fishery workers","2006",105,"Agr"
"3041","  Buller district","Agriculture and fishery workers","2006",135,"Agr"
"3042","  Grey district","Agriculture and fishery workers","2006",132,"Agr"
"3043","  Westland district","Agriculture and fishery workers","2006",159,"Agr"
"3044","  Hurunui district","Agriculture and fishery workers","2006",630,"Agr"
"3045","  Waimakariri district","Agriculture and fishery workers","2006",405,"Agr"
"3046","  Christchurch city","Agriculture and fishery workers","2006",1173,"Agr"
"3047","  Selwyn district","Agriculture and fishery workers","2006",564,"Agr"
"3048","  Ashburton district","Agriculture and fishery workers","2006",1068,"Agr"
"3049","  Timaru district","Agriculture and fishery workers","2006",717,"Agr"
"3050","  Mackenzie district","Agriculture and fishery workers","2006",162,"Agr"
"3051","  Waimate district","Agriculture and fishery workers","2006",276,"Agr"
"3052","  Chatham Islands territory","Agriculture and fishery workers","2006",48,"Agr"
"3053","  Waitaki district","Agriculture and fishery workers","2006",504,"Agr"
"3054","  Central Otago district","Agriculture and fishery workers","2006",666,"Agr"
"3055","  Queenstown-Lakes district","Agriculture and fishery workers","2006",186,"Agr"
"3056","  Dunedin city","Agriculture and fishery workers","2006",507,"Agr"
"3057","  Clutha district","Agriculture and fishery workers","2006",792,"Agr"
"3058","  Southland district","Agriculture and fishery workers","2006",1695,"Agr"
"3059","  Gore district","Agriculture and fishery workers","2006",564,"Agr"
"3060","  Invercargill city","Agriculture and fishery workers","2006",327,"Agr"
"3061","  Overseas","Agriculture and fishery workers","2006",NA,"Agr"
"3062","  In the air - NZ","Agriculture and fishery workers","2006",NA,"Agr"
"3063","  In NZ waters","Agriculture and fishery workers","2006",114,"Agr"
"3064","  At sea, not in NZ waters","Agriculture and fishery workers","2006",3,"Agr"
"3065","  In the air - overseas","Agriculture and fishery workers","2006",NA,"Agr"
"3066","  Not specified","Agriculture and fishery workers","2006",249,"Agr"
"3067","  Far North district","Trades workers","2006",570,"Tra"
"3068","  Whangarei district","Trades workers","2006",1077,"Tra"
"3069","  Kaipara district","Trades workers","2006",141,"Tra"
"3070","  Auckland city","Trades workers","2006",13347,"Tra"
"3071","  Thames-Coromandel district","Trades workers","2006",405,"Tra"
"3072","  Hauraki district","Trades workers","2006",147,"Tra"
"3073","  Waikato district","Trades workers","2006",558,"Tra"
"3074","  Matamata-Piako district","Trades workers","2006",363,"Tra"
"3075","  Hamilton city","Trades workers","2006",2070,"Tra"
"3076","  Waipa district","Trades workers","2006",294,"Tra"
"3077","  Otorohanga district","Trades workers","2006",69,"Tra"
"3078","  South Waikato district","Trades workers","2006",147,"Tra"
"3079","  Waitomo district","Trades workers","2006",90,"Tra"
"3080","  Taupo district","Trades workers","2006",441,"Tra"
"3081","  Western Bay of Plenty district","Trades workers","2006",114,"Tra"
"3082","  Tauranga city","Trades workers","2006",1920,"Tra"
"3083","  Rotorua district","Trades workers","2006",789,"Tra"
"3084","  Whakatane district","Trades workers","2006",261,"Tra"
"3085","  Kawerau district","Trades workers","2006",159,"Tra"
"3086","  Opotiki district","Trades workers","2006",45,"Tra"
"3087","  Gisborne district","Trades workers","2006",405,"Tra"
"3088","  Wairoa district","Trades workers","2006",51,"Tra"
"3089","  Hastings district","Trades workers","2006",960,"Tra"
"3090","  Napier city","Trades workers","2006",759,"Tra"
"3091","  Central Hawke's Bay district","Trades workers","2006",183,"Tra"
"3092","  New Plymouth district","Trades workers","2006",951,"Tra"
"3093","  Stratford district","Trades workers","2006",93,"Tra"
"3094","  South Taranaki district","Trades workers","2006",288,"Tra"
"3095","  Ruapehu district","Trades workers","2006",102,"Tra"
"3096","  Whanganui district","Trades workers","2006",555,"Tra"
"3097","  Rangitikei district","Trades workers","2006",69,"Tra"
"3098","  Manawatu district","Trades workers","2006",261,"Tra"
"3099","  Palmerston North city","Trades workers","2006",690,"Tra"
"3100","  Tararua district","Trades workers","2006",153,"Tra"
"3101","  Horowhenua district","Trades workers","2006",213,"Tra"
"3102","  Kapiti Coast district","Trades workers","2006",330,"Tra"
